,block,schooldist,council,zipcode,bldgclass,landuse,lotarea,bldgarea,numfloors,unitstotal,assesstot,yearbuilt,longitude,latitude,Cluster
680718,831,2.0,3.0,10001.0,H2,5.0,29990.0,412612.0,38.0,0.0,51443550.0,2017.0,-73.9888988,40.7465935,0
680733,800,2.0,3.0,10010.0,RM,4.0,19760.0,249981.0,40.0,203.0,47323832.0,2006.0,-73.9924034,40.7440055,3
680758,851,2.0,2.0,10010.0,O4,5.0,8650.0,183449.0,21.0,23.0,25293600.0,1903.0,-73.9896539,40.7409916,0
680761,861,2.0,4.0,10016.0,D7,4.0,8400.0,175687.0,35.0,166.0,23937300.0,2008.0,-73.9853187,40.7467194,2
680762,864,2.0,2.0,10016.0,D8,3.0,4938.0,106153.0,36.0,111.0,14615100.0,2007.0,-73.9821208,40.7477153,2
680765,857,2.0,2.0,10016.0,RD,3.0,19275.0,367944.0,42.0,351.0,81367657.0,2013.0,-73.9846157,40.7432554,2
680783,865,2.0,4.0,10016.0,R4,3.0,3230.0,64660.0,22.0,40.0,10594350.0,1985.0,-73.9819654,40.7486704,2
680792,865,2.0,4.0,10016.0,O4,5.0,40981.0,606148.0,26.0,35.0,67313250.0,1926.0,-73.9826908,40.748934,0
680800,861,2.0,2.0,10016.0,D6,4.0,4934.0,73221.0,21.0,71.0,10143450.0,2017.0,-73.9838139,40.7461154,2
680807,854,2.0,2.0,10010.0,RB,5.0,83937.0,1630256.0,30.0,36.0,170328598.0,1932.0,-73.9864854,40.7415128,0
680813,877,2.0,2.0,10010.0,RM,4.0,4950.0,89730.0,21.0,82.0,24381004.0,2012.0,-73.9840143,40.7381309,2
680819,867,2.0,4.0,10016.0,R4,3.0,2537.0,23805.0,22.0,17.0,3948301.0,1998.0,-73.9801426,40.7493399,2
680954,930,2.0,2.0,10010.0,D4,3.0,47394.0,265541.0,28.0,236.0,19287450.0,1975.0,-73.9791571,40.7383799,2
680972,943,2.0,4.0,10016.0,RM,4.0,81173.0,924200.0,57.0,863.0,102206147.0,1989.0,-73.9727199,40.7463274,3
680993,936,2.0,2.0,10016.0,RM,4.0,328454.0,869426.0,21.0,1120.0,90733709.0,1962.0,-73.9757058,40.742672,2
681012,1140,3.0,6.0,10023.0,RM,4.0,65127.0,617105.0,34.0,681.0,95175501.0,1965.0,-73.9827739,40.7761262,2
681068,1171,3.0,6.0,10023.0,D8,3.0,75484.0,978985.0,37.0,982.0,74474550.0,1994.0,-73.9894033,40.7737913,2
681098,1204,3.0,6.0,10024.0,D4,3.0,28617.0,229410.0,27.0,183.0,12313350.0,1970.0,-73.9697013,40.7892049,2
