,Clusters,Neighborhood,Borough,Latitude,Longitude,Common Venue
0,2,Allerton,Bronx,40.86578787802982,-73.85931863221647,Chinese Restaurant
1,5,Annadale,Staten Island,40.53811417474507,-74.17854866165878,Pizza Place
2,5,Arden Heights,Staten Island,40.54928582278321,-74.18588674583893,Pizza Place
3,5,Arlington,Staten Island,40.63532509911492,-74.16510420241124,Pizza Place
4,6,Arrochar,Staten Island,40.596312571276734,-74.06712363225574,Italian Restaurant
