,block,schooldist,council,zipcode,bldgclass,landuse,lotarea,bldgarea,numfloors,unitstotal,assesstot,yearbuilt,longitude,latitude,Cluster
165027,2483,7.0,8.0,10451.0,RM,4.0,20000.0,152891.0,17.0,136.0,11077200.0,2015.0,-73.92653809999999,40.826206400000004,3
165032,862,2.0,4.0,10016.0,RM,4.0,25678.0,317446.0,41.0,358.0,63764573.0,2005.0,-73.98486020000001,40.747328700000004,2
165037,1894,3.0,7.0,10025.0,RM,4.0,17661.0,174081.0,16.0,156.0,13164750.0,1926.0,-73.9668767,40.804846399999995,3
165038,2134,14.0,33.0,11249.0,RM,4.0,18640.0,181179.0,16.0,141.0,14189400.0,2003.0,-73.96879279999999,40.708890600000004,1
165042,819,2.0,3.0,10011.0,RM,4.0,9200.0,89227.0,19.0,84.0,15391870.0,2015.0,-73.9947495,40.73920510000001,3
165053,415,30.0,26.0,11101.0,RM,4.0,25363.0,123626.0,17.0,152.0,8195430.0,2007.0,-73.9393214,40.75159,1
165054,863,2.0,4.0,10016.0,RM,4.0,10752.0,116877.0,34.0,74.0,25594222.0,2016.0,-73.9836367,40.7474054,2
165056,1151,3.0,6.0,10023.0,RM,4.0,32233.0,385502.0,35.0,382.0,46581300.0,1991.0,-73.9877972,40.770898100000004,2
165059,842,2.0,2.0,10003.0,RM,4.0,16981.0,175750.0,19.0,155.0,28440000.0,1961.0,-73.9931115,40.7361528,3
165071,1131,3.0,3.0,10019.0,RM,4.0,7100.0,199773.0,40.0,134.0,34579346.0,1998.0,-73.9849779,40.7695062,2
165090,1026,2.0,3.0,10019.0,RM,4.0,15940.0,233098.0,31.0,237.0,32652648.0,1979.0,-73.9826939,40.764686100000006,3
165103,154,15.0,33.0,11201.0,RM,4.0,8958.0,134202.0,21.0,109.0,14111298.0,2015.0,-73.988789,40.691075299999994,1
165106,1209,3.0,6.0,10025.0,RM,4.0,15106.0,151413.0,17.0,104.0,11880010.0,1929.0,-73.9652546,40.79149,3
165127,174,2.0,1.0,10013.0,RM,4.0,16155.0,157479.0,20.0,301.0,17753437.0,2018.0,-74.00422059999998,40.71728,3
165138,135,2.0,1.0,10007.0,RM,4.0,18814.0,298408.0,28.0,91.0,31155222.0,1910.0,-74.00695470000001,40.7142661,3
165143,1569,2.0,5.0,10128.0,RM,4.0,21554.0,229976.0,18.0,199.0,17296216.0,1963.0,-73.9473268,40.778786100000005,3
165163,701,2.0,3.0,10001.0,RM,4.0,41228.0,301475.0,33.0,392.0,50956200.0,2013.0,-74.0017036,40.7519848,2
165171,1404,2.0,4.0,10021.0,RM,4.0,7531.0,124816.0,31.0,106.0,24530465.0,1986.0,-73.96197420000001,40.7683646,3
165186,268,30.0,26.0,11101.0,RM,4.0,14047.0,109115.0,27.0,171.0,10400216.0,2015.0,-73.94152740000001,40.7466286,1
165231,194,2.0,1.0,10013.0,O4,5.0,10477.0,230139.0,26.0,171.0,25753950.0,1930.0,-74.0027994,40.7189434,0
165337,452,1.0,2.0,10003.0,D9,3.0,10207.0,121503.0,16.0,162.0,13634550.0,1929.0,-73.9863182,40.72990789999999,3
165509,1447,2.0,5.0,10021.0,D6,4.0,11238.0,173031.0,19.0,145.0,14194800.0,1962.0,-73.9561512,40.768170399999995,3
165627,1158,3.0,6.0,10023.0,D6,4.0,20708.0,229636.0,21.0,239.0,37230750.0,2016.0,-73.983933,40.776013899999995,3
165631,1158,3.0,6.0,10023.0,D8,3.0,5000.0,350695.0,51.0,113.0,52586550.0,2018.0,-73.9832251,40.776966200000004,2
165690,1787,4.0,8.0,10035.0,D9,3.0,35501.0,268639.0,35.0,100.0,9774000.0,1974.0,-73.9353713,40.8015311,3
165981,1508,2.0,4.0,10075.0,D3,3.0,8684.0,113281.0,17.0,70.0,10494000.0,1913.0,-73.9600023,40.7757253,3
166223,2027,5.0,9.0,10030.0,D3,3.0,84927.0,216247.0,21.0,249.0,8709300.0,1963.0,-73.94271640000001,40.8202375,3
166224,2027,5.0,9.0,10030.0,D3,3.0,34970.0,212887.0,21.0,238.0,8816400.0,1964.0,-73.94121750000001,40.819624700000006,3
166225,2028,5.0,9.0,10030.0,D3,3.0,59946.0,221013.0,21.0,244.0,7193700.0,1963.0,-73.9424592,40.820964700000005,3
166229,2028,5.0,9.0,10030.0,D6,4.0,82429.0,219894.0,20.0,245.0,7306200.0,1963.0,-73.9411338,40.820409600000005,3
169377,2462,14.0,34.0,11211.0,D6,4.0,12600.0,108501.0,16.0,67.0,6649200.0,2017.0,-73.9563169,40.708151,1
169422,784,2.0,3.0,10001.0,H2,5.0,7357.0,201307.0,39.0,349.0,31244400.0,2010.0,-73.991031,40.7517923,2
169438,835,2.0,4.0,10001.0,D8,3.0,6694.0,160126.0,34.0,173.0,14914350.0,2002.0,-73.9868304,40.7487644,3
169458,944,2.0,4.0,10016.0,D6,4.0,9875.0,122207.0,16.0,159.0,12138300.0,1928.0,-73.97359279999999,40.7473541,3
169487,1320,2.0,4.0,10017.0,O4,5.0,21087.0,408153.0,39.0,42.0,42648300.0,1971.0,-73.97204920000001,40.753479999999996,2
169493,250,13.0,33.0,11201.0,D7,4.0,6900.0,79211.0,19.0,59.0,11984400.0,2015.0,-73.99202690000001,40.69363920000001,1
169774,702,2.0,3.0,10001.0,O4,5.0,79943.0,1835464.0,48.0,27.0,348648750.0,2017.0,-74.0015773,40.7527011,2
177662,1958,5.0,9.0,10027.0,D7,4.0,65212.0,336334.0,29.0,315.0,11339100.0,1926.0,-73.9491704,40.8138289,3
177865,1406,2.0,4.0,10021.0,RM,4.0,14303.0,195777.0,20.0,68.0,28672376.0,1940.0,-73.9637529,40.770432,3
178906,1151,3.0,6.0,10019.0,D6,4.0,28016.0,402707.0,33.0,467.0,24313950.0,1973.0,-73.98827370000001,40.7710986,2
192169,1767,4.0,9.0,10035.0,D7,4.0,20991.0,201276.0,18.0,135.0,6365250.0,1975.0,-73.9407325,40.800348299999996,3
193635,1959,5.0,9.0,10030.0,D6,4.0,53798.0,331448.0,19.0,262.0,7954650.0,1975.0,-73.9478683,40.8157935,3
195001,266,15.0,33.0,11201.0,O4,5.0,32542.0,459100.0,22.0,18.0,37085850.0,1969.0,-73.98980590000001,40.6914761,1
199579,1305,2.0,4.0,10022.0,H1,5.0,7500.0,138614.0,28.0,4.0,22449150.0,1927.0,-73.9719865,40.7565953,0
199580,1305,2.0,4.0,10022.0,HS,5.0,7500.0,147970.0,30.0,1.0,13761450.0,1985.0,-73.9713947,40.7563371,0
199581,1305,2.0,4.0,10022.0,HS,5.0,10744.0,159582.0,21.0,12.0,18565650.0,1963.0,-73.9709436,40.756150399999996,0
199662,1095,2.0,3.0,10036.0,HB,5.0,10042.0,153363.0,16.0,222.0,19648350.0,1929.0,-73.995993,40.7645666,0
199675,1270,2.0,4.0,10019.0,H1,5.0,12083.0,274656.0,35.0,3.0,33238350.0,1926.0,-73.9781136,40.7624347,2
199676,1278,2.0,4.0,10017.0,O6,5.0,14525.0,271266.0,19.0,29.0,40952700.0,1958.0,-73.9796971,40.754434,0
199693,23,2.0,1.0,10005.0,D9,3.0,19975.0,466820.0,30.0,540.0,74338650.0,1956.0,-74.01146240000001,40.706613399999995,3
199707,24,2.0,1.0,10004.0,O4,5.0,13220.0,370000.0,48.0,0.0,52962750.0,1932.0,-74.01165350000001,40.706272999999996,2
199713,46,2.0,1.0,10005.0,O4,5.0,8615.0,173159.0,21.0,17.0,14912550.0,1932.0,-74.01132559999999,40.7077305,0
199714,46,2.0,1.0,10005.0,O4,5.0,32947.0,839749.0,32.0,71.0,66271950.0,1912.0,-74.0107629,40.7076263,0
199715,42,2.0,1.0,10005.0,D8,3.0,18892.0,431000.0,45.0,289.0,32504850.0,2002.0,-74.0081948,40.707363,2
199716,51,2.0,1.0,10006.0,O4,5.0,17626.0,400294.0,26.0,69.0,31275450.0,1907.0,-74.0131688,40.70808710000001,0
199720,24,2.0,1.0,10004.0,O4,5.0,13971.0,205940.0,20.0,60.0,11624850.0,1913.0,-74.01186259999999,40.7057268,0
199722,27,2.0,1.0,10005.0,D5,3.0,17623.0,400531.0,37.0,482.0,46988232.0,1929.0,-74.0087752,40.7056282,2
199729,51,2.0,1.0,10006.0,O4,5.0,16844.0,281121.0,27.0,27.0,36254250.0,2017.0,-74.01298129999999,40.708408299999995,0
199731,20,2.0,1.0,10006.0,O4,5.0,15722.0,309381.0,31.0,60.0,27614700.0,1983.0,-74.0130242,40.706854799999995,0
199733,21,2.0,1.0,10006.0,O4,5.0,22197.0,650740.0,33.0,102.0,48196350.0,1913.0,-74.01283670000001,40.7071046,0
199734,22,2.0,1.0,10004.0,O6,5.0,18640.0,345540.0,19.0,22.0,33949800.0,1897.0,-74.012274,40.7064843,0
199735,27,2.0,1.0,10005.0,D5,3.0,12127.0,305271.0,25.0,339.0,34224300.0,1921.0,-74.00840009999999,40.7055459,3
199736,28,2.0,1.0,10004.0,D0,3.0,11934.0,239121.0,23.0,211.0,21519900.0,1926.0,-74.00962270000001,40.7050024,3
199737,24,2.0,1.0,10004.0,O4,5.0,44757.0,974958.0,38.0,0.0,90820350.0,1961.0,-74.0119996,40.705312299999996,2
199741,52,2.0,1.0,10006.0,H2,5.0,6109.0,130054.0,30.0,318.0,17689050.0,2014.0,-74.012664,40.7093333,0
199751,23,2.0,1.0,10005.0,O4,5.0,31350.0,240279.0,23.0,1.0,19003950.0,1901.0,-74.01119200000001,40.7070306,0
199754,125,2.0,1.0,10007.0,O4,5.0,53354.0,932587.0,22.0,38.0,66784500.0,1959.0,-74.0101362,40.713286,0
199758,88,2.0,1.0,10007.0,D8,3.0,15148.0,531000.0,58.0,400.0,57694950.0,2006.0,-74.00914399999999,40.7122184,2
199759,88,2.0,1.0,10007.0,O4,5.0,16409.0,480831.0,44.0,146.0,30617550.0,1927.0,-74.00865340000001,40.7119906,2
199762,126,2.0,1.0,10007.0,D8,3.0,7549.0,163340.0,43.0,52.0,14684400.0,2017.0,-74.0097935,40.713725200000006,2
199773,124,2.0,1.0,10007.0,O6,5.0,12233.0,205000.0,18.0,64.0,14074200.0,1927.0,-74.00822790000001,40.713162700000005,0
199781,126,2.0,1.0,10007.0,D5,3.0,21826.0,620552.0,21.0,394.0,70281900.0,1964.0,-74.00950859999999,40.7137911,3
199788,80,2.0,1.0,10007.0,O4,5.0,36775.0,1094861.0,29.0,64.0,72030600.0,1916.0,-74.00976429999999,40.710851500000004,0
199790,80,2.0,1.0,10007.0,H1,5.0,18044.0,383166.0,58.0,3.0,38121300.0,1961.0,-74.010244,40.7111396,2
199815,226,2.0,1.0,10013.0,O6,5.0,62613.0,1000746.0,17.0,67.0,124939800.0,1930.0,-74.0068186,40.7234391,0
199968,477,2.0,3.0,10013.0,H3,5.0,5432.0,54375.0,18.0,1.0,10743300.0,2006.0,-74.0052493,40.7238921,0
200082,580,2.0,3.0,10014.0,D9,3.0,15104.0,224400.0,21.0,124.0,34433100.0,2014.0,-74.00644009999999,40.7269195,3
200094,706,2.0,3.0,10001.0,O4,5.0,67397.0,2216567.0,62.0,1.0,284506650.0,2018.0,-73.9995885,40.7552291,2
200098,701,2.0,3.0,10001.0,D7,4.0,26169.0,315586.0,33.0,180.0,32611950.0,2015.0,-74.0024363,40.7524321,2
200107,701,2.0,3.0,10001.0,D8,3.0,27156.0,387468.0,34.0,374.0,35354700.0,2008.0,-74.0032989,40.752802700000004,3
200110,708,2.0,3.0,10018.0,D8,3.0,4875.0,270400.0,51.0,379.0,12380400.0,2020.0,-74.00042590000001,40.757361700000004,2
200111,731,2.0,3.0,10001.0,O6,5.0,33900.0,538520.0,18.0,50.0,48695400.0,1927.0,-73.9989785,40.7540516,0
200114,732,2.0,3.0,10001.0,H2,5.0,10286.0,218640.0,28.0,2.0,30221100.0,2015.0,-73.9986681,40.7546801,0
200115,732,2.0,3.0,10001.0,D6,4.0,8223.0,97867.0,16.0,129.0,8317350.0,1929.0,-73.99836490000001,40.7545538,3
200117,707,2.0,3.0,10018.0,D6,4.0,17275.0,511325.0,44.0,58.0,13215150.0,2020.0,-73.99889190000002,40.75561879999999,2
200122,705,2.0,3.0,10001.0,O4,5.0,40015.0,1178640.0,51.0,2.0,250567650.0,2015.0,-74.001765,40.75524,2
200128,732,2.0,3.0,10001.0,D4,3.0,11520.0,142971.0,20.0,212.0,10472400.0,1930.0,-73.9977441,40.754293100000005,3
200133,708,2.0,3.0,10018.0,D6,4.0,22219.0,321693.0,39.0,253.0,51858450.0,2016.0,-73.99904709999998,40.756538299999995,2
200139,732,2.0,3.0,10001.0,O4,5.0,39779.0,515174.0,26.0,3.0,88198200.0,1962.0,-73.99651329999999,40.7539335,0
200143,709,2.0,3.0,10018.0,D8,3.0,59263.0,807316.0,44.0,839.0,82932750.0,2007.0,-73.99816640000002,40.7570598,2
200158,710,2.0,3.0,10018.0,D7,4.0,15140.0,467131.0,52.0,591.0,34049700.0,2020.0,-73.9996426,40.75847329999999,2
200176,731,2.0,3.0,10001.0,D4,3.0,9850.0,108402.0,17.0,178.0,11968650.0,1963.0,-73.997672,40.753661799999996,3
200180,758,2.0,3.0,10001.0,H2,5.0,34562.0,1300727.0,42.0,3.0,70774200.0,1929.0,-73.99364399999999,40.7527229,2
200181,758,2.0,3.0,10001.0,O6,5.0,19634.0,342596.0,18.0,33.0,39345300.0,1927.0,-73.9954919,40.7536727,0
200190,731,2.0,3.0,10001.0,D3,3.0,9875.0,119194.0,16.0,134.0,7053300.0,1928.0,-73.9979896,40.7537935,3
200192,757,2.0,3.0,10001.0,H1,5.0,7406.0,120639.0,22.0,239.0,14486400.0,2013.0,-73.9951022,40.7522619,0
200193,757,2.0,3.0,10001.0,D6,4.0,45270.0,555125.0,33.0,345.0,75397500.0,2000.0,-73.994615,40.7522619,2
200194,759,2.0,3.0,10018.0,H1,5.0,8145.0,119347.0,26.0,1.0,16568550.0,2015.0,-73.99374499999999,40.7537412,0
200196,759,2.0,3.0,10018.0,H2,5.0,12344.0,197027.0,26.0,570.0,38706300.0,2016.0,-73.9942033,40.753936100000004,0
200197,760,2.0,3.0,10018.0,H3,5.0,2468.0,39291.0,23.0,89.0,4135950.0,2016.0,-73.99392900000001,40.75431210000001,0
200208,760,2.0,3.0,10018.0,O6,5.0,14900.0,232458.0,18.0,20.0,8806050.0,1926.0,-73.9929076,40.7540376,0
200217,757,2.0,3.0,10001.0,O4,5.0,23601.0,611625.0,24.0,7.0,73304100.0,1917.0,-73.99406640000001,40.751987400000004,0
200218,757,2.0,3.0,10001.0,O6,5.0,46412.0,646464.0,18.0,28.0,82048950.0,1926.0,-73.9955064,40.7525968,0
200224,760,2.0,3.0,10018.0,H2,5.0,9973.0,119685.0,21.0,292.0,20260800.0,2012.0,-73.9930844,40.754270899999995,0
200225,760,2.0,3.0,10018.0,H2,5.0,7406.0,94374.0,22.0,252.0,16022700.0,2015.0,-73.9935969,40.7544878,0
200227,761,2.0,3.0,10018.0,O4,5.0,7400.0,166874.0,23.0,58.0,11647350.0,1927.0,-73.992182,40.7544987,0
200228,762,2.0,3.0,10018.0,H2,5.0,12344.0,148178.0,25.0,374.0,30916800.0,2017.0,-73.9936618,40.7558135,0
200229,759,2.0,3.0,10001.0,H2,5.0,5289.0,63363.0,25.0,150.0,9005850.0,2014.0,-73.99387850000001,40.7534777,0
200230,760,2.0,3.0,10018.0,H2,5.0,7406.0,81000.0,25.0,1.0,14213250.0,2007.0,-73.9940878,40.75438079999999,0
200237,761,2.0,3.0,10018.0,F5,6.0,4905.0,73698.0,16.0,21.0,4905000.0,1927.0,-73.992395,40.7547896,0
200241,761,2.0,3.0,10018.0,H3,5.0,7357.0,102824.0,27.0,3.0,13206600.0,2012.0,-73.9925358,40.7545289,0
200246,763,2.0,3.0,10018.0,O6,5.0,9784.0,132684.0,16.0,137.0,7525800.0,1927.0,-73.99206640000001,40.7559506,0
200250,762,2.0,3.0,10018.0,D8,3.0,17281.0,218725.0,25.0,243.0,20663550.0,2013.0,-73.99289300000001,40.755761299999996,3
200253,760,2.0,3.0,10018.0,D8,3.0,12343.0,170978.0,27.0,210.0,22338900.0,2008.0,-73.99439459999999,40.7548227,3
200254,761,2.0,3.0,10018.0,D8,3.0,49375.0,718503.0,24.0,572.0,62403300.0,2007.0,-73.9931962,40.754968100000006,3
200255,761,2.0,3.0,10018.0,O6,5.0,14812.0,180064.0,16.0,72.0,14040000.0,1928.0,-73.9934994,40.7552563,0
200256,762,2.0,3.0,10018.0,O6,5.0,7801.0,110188.0,16.0,155.0,7941600.0,1929.0,-73.9927125,40.7554127,0
200259,763,2.0,3.0,10018.0,H2,5.0,9875.0,200590.0,35.0,1.0,29598750.0,2014.0,-73.99308420000001,40.75669179999999,2
200260,763,2.0,3.0,10018.0,H2,5.0,2469.0,27160.0,20.0,1.0,4372650.0,2004.0,-73.9915611,40.7557365,0
200269,762,2.0,3.0,10018.0,O4,5.0,17250.0,274209.0,20.0,75.0,18896400.0,1927.0,-73.99216390000001,40.7552288,0
200276,763,2.0,3.0,10018.0,H3,5.0,3497.0,71706.0,32.0,1.0,11376900.0,2006.0,-73.99283879999999,40.756274600000005,0
200281,785,2.0,3.0,10001.0,O6,5.0,8243.0,106810.0,16.0,13.0,8991900.0,1924.0,-73.9910273,40.752278100000005,0
200284,762,2.0,3.0,10018.0,O4,5.0,9916.0,224400.0,23.0,41.0,22257450.0,1925.0,-73.9918066,40.7550311,0
200285,762,2.0,3.0,10018.0,O4,5.0,4942.0,112700.0,23.0,26.0,9276750.0,1927.0,-73.99159,40.7553358,0
200286,784,2.0,3.0,10001.0,O6,5.0,9875.0,143448.0,17.0,34.0,10356300.0,1924.0,-73.9912945,40.7519021,0
200287,784,2.0,3.0,10001.0,O6,5.0,9875.0,145372.0,17.0,35.0,15133950.0,1924.0,-73.99185390000001,40.7521409,0
200295,784,2.0,3.0,10001.0,O6,5.0,7406.0,133948.0,16.0,44.0,6825600.0,1925.0,-73.9921282,40.752256200000005,0
200296,784,2.0,3.0,10001.0,F5,6.0,7406.0,106642.0,16.0,14.0,5695200.0,1924.0,-73.99236640000001,40.7523551,0
200300,763,2.0,3.0,10018.0,H2,5.0,4937.0,114917.0,42.0,271.0,10718100.0,2015.0,-73.9917343,40.7561235,2
200301,787,2.0,3.0,10018.0,O4,5.0,9875.0,225858.0,23.0,83.0,12761550.0,1925.0,-73.9916262,40.7541446,0
200302,787,2.0,3.0,10018.0,O6,5.0,14812.0,214130.0,18.0,50.0,11700000.0,1924.0,-73.991222,40.7539771,0
200305,787,2.0,3.0,10018.0,O6,5.0,11282.0,163103.0,16.0,19.0,6324300.0,1923.0,-73.99042440000001,40.7536449,0
200306,785,2.0,3.0,10018.0,O4,5.0,8275.0,189734.0,23.0,24.0,15618600.0,1925.0,-73.99033440000001,40.751962400000004,0
200310,787,2.0,3.0,10018.0,O6,5.0,6583.0,95491.0,16.0,27.0,6489900.0,1924.0,-73.9910704,40.7542351,0
200311,787,2.0,3.0,10018.0,F9,6.0,13166.0,255696.0,21.0,67.0,25267050.0,1924.0,-73.9913952,40.7543696,0
200313,788,2.0,3.0,10018.0,O4,5.0,3331.0,72649.0,20.0,27.0,3058200.0,1928.0,-73.9912075,40.7548362,0
200315,788,2.0,3.0,10018.0,O6,5.0,12146.0,181921.0,17.0,45.0,16796250.0,1926.0,-73.9903232,40.754723600000005,0
200316,784,2.0,3.0,10001.0,O4,5.0,4837.0,111274.0,23.0,42.0,9724500.0,1928.0,-73.9927634,40.752596600000004,0
200319,763,2.0,3.0,10018.0,H2,5.0,4938.0,98738.0,33.0,248.0,18299250.0,2006.0,-73.9923695,40.7563898,0
200320,763,2.0,3.0,10018.0,H2,5.0,4937.0,102000.0,33.0,1.0,15912900.0,2006.0,-73.99252829999999,40.7564585,0
200322,787,2.0,3.0,10018.0,O6,5.0,36260.0,606078.0,17.0,17.0,65025000.0,1921.0,-73.9896953,40.7534308,0
200323,787,2.0,3.0,10018.0,O4,5.0,13937.0,553748.0,45.0,136.0,60036750.0,1930.0,-73.9892766,40.75345,2
200325,786,2.0,3.0,10018.0,D0,3.0,5400.0,74100.0,16.0,27.0,5594400.0,1925.0,-73.9911319,40.753126200000004,3
200328,788,2.0,3.0,10018.0,O6,5.0,10121.0,154516.0,18.0,123.0,10197450.0,1926.0,-73.99068050000001,40.7548746,0
200331,785,2.0,3.0,10001.0,O6,5.0,9085.0,132118.0,16.0,18.0,7587000.0,1924.0,-73.992009,40.7526871,0
200332,763,2.0,3.0,10018.0,H2,5.0,3291.0,67130.0,32.0,1.0,10124100.0,2010.0,-73.99287120000001,40.756601200000006,0
200334,787,2.0,3.0,10018.0,O6,5.0,9126.0,137887.0,17.0,30.0,6347700.0,1923.0,-73.9900273,40.75380139999999,0
200341,788,2.0,3.0,10018.0,O6,5.0,10121.0,146377.0,17.0,26.0,11263950.0,1925.0,-73.9908574,40.7546331,0
200342,788,2.0,3.0,10018.0,F9,6.0,8448.0,130010.0,17.0,46.0,6943950.0,1924.0,-73.9903918,40.7544354,0
200344,788,2.0,3.0,10018.0,K4,4.0,6099.0,121520.0,20.0,65.0,5069250.0,1925.0,-73.9909475,40.7550283,3
200347,785,2.0,3.0,10001.0,O6,5.0,6768.0,95568.0,16.0,28.0,4707450.0,1926.0,-73.99174909999999,40.7525801,0
200348,785,2.0,3.0,10001.0,O6,5.0,10972.0,144141.0,17.0,17.0,11047500.0,1924.0,-73.99146400000001,40.7524593,0
200351,786,2.0,3.0,10018.0,O4,5.0,38800.0,803800.0,24.0,1.0,169273800.0,1920.0,-73.9900275,40.752848900000004,0
200354,789,2.0,3.0,10018.0,O6,5.0,12491.0,177975.0,16.0,1.0,6163650.0,1925.0,-73.9903736,40.7552369,0
200370,786,2.0,3.0,10018.0,O6,5.0,9131.0,139629.0,17.0,29.0,12070350.0,1924.0,-73.9914386,40.753573700000004,0
200374,789,2.0,3.0,10018.0,O6,5.0,7258.0,108025.0,17.0,23.0,5095350.0,1925.0,-73.99005240000001,40.7551024,0
200383,812,2.0,4.0,10018.0,O6,5.0,13300.0,234846.0,16.0,25.0,35889300.0,1922.0,-73.9871583,40.751789200000005,0
200385,788,2.0,3.0,10018.0,O6,5.0,4016.0,59488.0,16.0,28.0,5553900.0,1926.0,-73.98968070000001,40.7544518,0
200386,789,2.0,3.0,10018.0,O6,5.0,21478.0,229162.0,16.0,22.0,21554550.0,1922.0,-73.9888216,40.7547098,0
200387,811,2.0,3.0,10018.0,O6,5.0,7313.0,101203.0,16.0,23.0,7257150.0,1922.0,-73.9888366,40.7516796,0
200392,811,2.0,3.0,10018.0,O4,5.0,19750.0,408511.0,22.0,88.0,34758450.0,1925.0,-73.98953320000001,40.7516494,0
200393,811,2.0,3.0,10001.0,O6,5.0,6646.0,99184.0,18.0,114.0,9281250.0,1927.0,-73.98907840000001,40.751459999999994,0
200401,813,2.0,4.0,10018.0,O4,5.0,7989.0,204034.0,23.0,61.0,21304350.0,1928.0,-73.9870282,40.752568700000005,0
200402,813,2.0,3.0,10018.0,O4,5.0,18850.0,438643.0,23.0,303.0,40735800.0,1926.0,-73.9878366,40.7528624,0
200403,789,2.0,3.0,10018.0,O4,5.0,9875.0,225981.0,23.0,30.0,21330900.0,1924.0,-73.98851490000001,40.754459999999995,0
200408,812,2.0,3.0,10018.0,O4,5.0,7556.0,180704.0,25.0,86.0,15359850.0,1925.0,-73.9891071,40.7525881,0
200417,996,2.0,4.0,10036.0,O4,5.0,42050.0,1039529.0,44.0,44.0,153343800.0,1968.0,-73.9838656,40.756056799999996,2
200418,996,2.0,4.0,10036.0,H3,5.0,7500.0,99109.0,16.0,3.0,14396400.0,1933.0,-73.98434559999998,40.756391799999996,0
200422,814,2.0,4.0,10018.0,O4,5.0,28950.0,768530.0,35.0,88.0,63647550.0,1930.0,-73.9866888,40.75295560000001,2
200426,993,2.0,4.0,10018.0,O4,5.0,27200.0,654137.0,35.0,95.0,54464400.0,1958.0,-73.98538559999999,40.7540314,2
200428,812,2.0,3.0,10018.0,O4,5.0,5867.0,165000.0,22.0,34.0,9324900.0,1911.0,-73.9885045,40.7520144,0
200431,813,2.0,3.0,10018.0,O6,5.0,24095.0,433330.0,17.0,120.0,36867600.0,1923.0,-73.9885657,40.752854299999996,0
200432,813,2.0,3.0,10018.0,O4,5.0,17725.0,464951.0,27.0,56.0,37179900.0,1927.0,-73.9878944,40.752565999999995,0
200435,812,2.0,3.0,10018.0,O4,5.0,4582.0,108214.0,22.0,23.0,6959250.0,1925.0,-73.9883349,40.7519073,0
200436,812,2.0,3.0,10018.0,O4,5.0,19433.0,397978.0,21.0,68.0,46099800.0,1924.0,-73.9879595,40.7518551,0
200442,993,2.0,4.0,10018.0,O4,5.0,13550.0,362850.0,42.0,150.0,39620700.0,1931.0,-73.98626259999999,40.7546518,2
200443,813,2.0,4.0,10018.0,O4,5.0,9925.0,241001.0,23.0,63.0,20686050.0,1926.0,-73.98656629999999,40.7520169,0
200446,814,2.0,4.0,10018.0,O6,5.0,7406.0,118949.0,16.0,97.0,7677000.0,1927.0,-73.9862196,40.752994,0
200447,993,2.0,3.0,10018.0,O4,5.0,18225.0,494868.0,33.0,1.0,47877750.0,1929.0,-73.98716850000001,40.75499779999999,0
200449,997,2.0,4.0,10036.0,O4,5.0,33639.0,734668.0,40.0,43.0,165756600.0,1984.0,-73.98336009999998,40.756671600000004,2
200453,997,2.0,4.0,10036.0,H1,5.0,16820.0,471985.0,48.0,1.0,42365250.0,1988.0,-73.984645,40.757154799999995,2
200454,997,2.0,4.0,10036.0,H1,5.0,6025.0,85000.0,21.0,1.0,8795250.0,1998.0,-73.984414,40.7569133,0
200457,814,2.0,4.0,10018.0,O4,5.0,12475.0,367212.0,33.0,106.0,32472000.0,1930.0,-73.9868007,40.753246600000004,0
200458,815,2.0,3.0,10018.0,O4,5.0,50765.0,1088074.0,42.0,100.0,118594350.0,1969.0,-73.9875657,40.7541936,2
200460,996,2.0,4.0,10036.0,O4,5.0,25570.0,493107.0,33.0,69.0,126971550.0,1972.0,-73.9856377,40.756770700000004,0
200463,997,2.0,4.0,10036.0,O4,5.0,15565.0,426056.0,40.0,66.0,52282800.0,1988.0,-73.9839412,40.757034000000004,2
200469,998,2.0,4.0,10036.0,H2,5.0,9510.0,304831.0,53.0,1.0,42398550.0,2009.0,-73.9840421,40.757569200000006,2
200470,1000,2.0,4.0,10036.0,H1,5.0,16066.0,369864.0,42.0,4.0,51092100.0,1909.0,-73.9840995,40.75922979999999,2
200472,1000,2.0,4.0,10036.0,H1,5.0,12050.0,374765.0,48.0,3.0,50791500.0,2018.0,-73.98339200000001,40.7589305,2
200476,1008,2.0,4.0,10019.0,H3,5.0,22240.0,207700.0,26.0,6.0,41540850.0,1911.0,-73.98039809999999,40.7642576,0
200478,815,2.0,4.0,10018.0,O4,5.0,17700.0,361767.0,24.0,79.0,47492550.0,1926.0,-73.9865949,40.7536446,0
200479,815,2.0,4.0,10018.0,H3,5.0,7406.0,126398.0,34.0,1.0,17117100.0,1997.0,-73.9861798,40.753575899999994,2
200483,1009,2.0,4.0,10019.0,H3,5.0,7532.0,112850.0,28.0,2.0,15711300.0,2007.0,-73.9779577,40.7643367,0
200484,999,2.0,4.0,10036.0,O6,5.0,14834.0,224919.0,17.0,126.0,42232950.0,1925.0,-73.98446779999999,40.758593100000006,0
200489,1008,2.0,4.0,10019.0,O4,5.0,29221.0,540000.0,23.0,1.0,148520700.0,1988.0,-73.9789507,40.7637468,0
200494,998,2.0,4.0,10036.0,H1,5.0,8033.0,113969.0,17.0,2.0,16039350.0,1912.0,-73.9837894,40.757791499999996,0
200501,999,2.0,4.0,10036.0,O4,5.0,26100.0,646995.0,25.0,40.0,97104600.0,1987.0,-73.9830385,40.758140000000004,0
