,block,schooldist,council,zipcode,bldgclass,landuse,lotarea,bldgarea,numfloors,unitstotal,assesstot,yearbuilt,longitude,latitude,Cluster
67057,259,1.0,1.0,10002.0,D4,3.0,45788.0,126150.0,21.0,124.0,3643650.0,1964.0,-73.9842226,40.7115919,3
67058,259,1.0,1.0,10002.0,D4,3.0,58820.0,287175.0,21.0,145.0,11763450.0,1964.0,-73.98438829999999,40.712697999999996,3
67105,333,1.0,2.0,10002.0,D4,3.0,357575.0,1191180.0,21.0,1104.0,28581300.0,1966.0,-73.9808446,40.717885100000004,3
67106,338,1.0,2.0,10002.0,D6,4.0,161437.0,478858.0,20.0,713.0,36367650.0,1962.0,-73.9819303,40.7182009,3
67107,341,1.0,1.0,10002.0,D6,4.0,56032.0,225000.0,26.0,404.0,17928000.0,1972.0,-73.9860432,40.7162445,3
67248,412,1.0,1.0,10002.0,H2,5.0,6806.0,82411.0,20.0,1.0,15094800.0,2007.0,-73.9871929,40.721824700000006,0
67361,533,2.0,1.0,10012.0,H8,8.0,265237.0,1485916.0,17.0,1921.0,54914850.0,1959.0,-73.9971966,40.728075200000006,0
67392,1311,2.0,4.0,10022.0,D8,3.0,8060.0,158063.0,32.0,145.0,19303650.0,1997.0,-73.96862790000002,40.7604014,3
67395,1312,2.0,4.0,10022.0,D4,3.0,10041.0,135841.0,20.0,191.0,12932550.0,1960.0,-73.96805379999999,40.76077720000001,3
67398,1311,2.0,4.0,10022.0,O4,5.0,5041.0,85449.0,20.0,34.0,9584550.0,1931.0,-73.96898879999999,40.7606348,0
67399,1311,2.0,4.0,10022.0,HS,5.0,4950.0,62210.0,16.0,1.0,6447600.0,1927.0,-73.9690791,40.7605113,0
67411,1311,2.0,4.0,10022.0,H2,5.0,8500.0,111084.0,17.0,9.0,14351850.0,1922.0,-73.9695771,40.7607941,0
67417,1367,2.0,5.0,10022.0,D4,3.0,11950.0,155938.0,20.0,88.0,16092450.0,1953.0,-73.9616525,40.7566417,3
67419,1312,2.0,4.0,10022.0,D6,4.0,12050.0,173168.0,19.0,121.0,17227800.0,1960.0,-73.96770009999999,40.760626200000004,3
67421,1312,2.0,4.0,10155.0,O4,5.0,28491.0,570453.0,39.0,144.0,80525250.0,1968.0,-73.96792370000001,40.7610352,2
