,borough,block,schooldist,council,zipcode,bldgclass,landuse,lotarea,bldgarea,numfloors,unitstotal,assesstot,yearbuilt,longitude,latitude,Cluster
200254,MN,761,2.0,3.0,10018.0,D8,3.0,49375.0,718503.0,24.0,572.0,62403300.0,2007.0,-73.9931962,40.754968100000006,0
200259,MN,763,2.0,3.0,10018.0,H2,5.0,9875.0,200590.0,35.0,1.0,29598750.0,2014.0,-73.99308420000001,40.75669179999999,0
200276,MN,763,2.0,3.0,10018.0,H3,5.0,3497.0,71706.0,32.0,1.0,11376900.0,2006.0,-73.99283879999999,40.756274600000005,0
200284,MN,762,2.0,3.0,10018.0,O4,5.0,9916.0,224400.0,23.0,41.0,22257450.0,1925.0,-73.9918066,40.7550311,0
200285,MN,762,2.0,3.0,10018.0,O4,5.0,4942.0,112700.0,23.0,26.0,9276750.0,1927.0,-73.99159,40.7553358,0
200300,MN,763,2.0,3.0,10018.0,H2,5.0,4937.0,114917.0,42.0,271.0,10718100.0,2015.0,-73.9917343,40.7561235,0
200301,MN,787,2.0,3.0,10018.0,O4,5.0,9875.0,225858.0,23.0,83.0,12761550.0,1925.0,-73.9916262,40.7541446,0
200306,MN,785,2.0,3.0,10018.0,O4,5.0,8275.0,189734.0,23.0,24.0,15618600.0,1925.0,-73.99033440000001,40.751962400000004,0
200311,MN,787,2.0,3.0,10018.0,F9,6.0,13166.0,255696.0,21.0,67.0,25267050.0,1924.0,-73.9913952,40.7543696,0
200316,MN,784,2.0,3.0,10001.0,O4,5.0,4837.0,111274.0,23.0,42.0,9724500.0,1928.0,-73.9927634,40.752596600000004,0
200319,MN,763,2.0,3.0,10018.0,H2,5.0,4938.0,98738.0,33.0,248.0,18299250.0,2006.0,-73.9923695,40.7563898,0
200320,MN,763,2.0,3.0,10018.0,H2,5.0,4937.0,102000.0,33.0,1.0,15912900.0,2006.0,-73.99252829999999,40.7564585,0
200323,MN,787,2.0,3.0,10018.0,O4,5.0,13937.0,553748.0,45.0,136.0,60036750.0,1930.0,-73.9892766,40.75345,0
200332,MN,763,2.0,3.0,10018.0,H2,5.0,3291.0,67130.0,32.0,1.0,10124100.0,2010.0,-73.99287120000001,40.756601200000006,0
200351,MN,786,2.0,3.0,10018.0,O4,5.0,38800.0,803800.0,24.0,1.0,169273800.0,1920.0,-73.9900275,40.752848900000004,0
200392,MN,811,2.0,3.0,10018.0,O4,5.0,19750.0,408511.0,22.0,88.0,34758450.0,1925.0,-73.98953320000001,40.7516494,0
200401,MN,813,2.0,4.0,10018.0,O4,5.0,7989.0,204034.0,23.0,61.0,21304350.0,1928.0,-73.9870282,40.752568700000005,0
200402,MN,813,2.0,3.0,10018.0,O4,5.0,18850.0,438643.0,23.0,303.0,40735800.0,1926.0,-73.9878366,40.7528624,0
200403,MN,789,2.0,3.0,10018.0,O4,5.0,9875.0,225981.0,23.0,30.0,21330900.0,1924.0,-73.98851490000001,40.754459999999995,0
200408,MN,812,2.0,3.0,10018.0,O4,5.0,7556.0,180704.0,25.0,86.0,15359850.0,1925.0,-73.9891071,40.7525881,0
200417,MN,996,2.0,4.0,10036.0,O4,5.0,42050.0,1039529.0,44.0,44.0,153343800.0,1968.0,-73.9838656,40.756056799999996,0
200422,MN,814,2.0,4.0,10018.0,O4,5.0,28950.0,768530.0,35.0,88.0,63647550.0,1930.0,-73.9866888,40.75295560000001,0
200426,MN,993,2.0,4.0,10018.0,O4,5.0,27200.0,654137.0,35.0,95.0,54464400.0,1958.0,-73.98538559999999,40.7540314,0
200428,MN,812,2.0,3.0,10018.0,O4,5.0,5867.0,165000.0,22.0,34.0,9324900.0,1911.0,-73.9885045,40.7520144,0
200432,MN,813,2.0,3.0,10018.0,O4,5.0,17725.0,464951.0,27.0,56.0,37179900.0,1927.0,-73.9878944,40.752565999999995,0
200435,MN,812,2.0,3.0,10018.0,O4,5.0,4582.0,108214.0,22.0,23.0,6959250.0,1925.0,-73.9883349,40.7519073,0
200436,MN,812,2.0,3.0,10018.0,O4,5.0,19433.0,397978.0,21.0,68.0,46099800.0,1924.0,-73.9879595,40.7518551,0
200442,MN,993,2.0,4.0,10018.0,O4,5.0,13550.0,362850.0,42.0,150.0,39620700.0,1931.0,-73.98626259999999,40.7546518,0
200443,MN,813,2.0,4.0,10018.0,O4,5.0,9925.0,241001.0,23.0,63.0,20686050.0,1926.0,-73.98656629999999,40.7520169,0
200447,MN,993,2.0,3.0,10018.0,O4,5.0,18225.0,494868.0,33.0,1.0,47877750.0,1929.0,-73.98716850000001,40.75499779999999,0
200449,MN,997,2.0,4.0,10036.0,O4,5.0,33639.0,734668.0,40.0,43.0,165756600.0,1984.0,-73.98336009999998,40.756671600000004,0
200453,MN,997,2.0,4.0,10036.0,H1,5.0,16820.0,471985.0,48.0,1.0,42365250.0,1988.0,-73.984645,40.757154799999995,0
200454,MN,997,2.0,4.0,10036.0,H1,5.0,6025.0,85000.0,21.0,1.0,8795250.0,1998.0,-73.984414,40.7569133,0
200457,MN,814,2.0,4.0,10018.0,O4,5.0,12475.0,367212.0,33.0,106.0,32472000.0,1930.0,-73.9868007,40.753246600000004,0
200458,MN,815,2.0,3.0,10018.0,O4,5.0,50765.0,1088074.0,42.0,100.0,118594350.0,1969.0,-73.9875657,40.7541936,0
200460,MN,996,2.0,4.0,10036.0,O4,5.0,25570.0,493107.0,33.0,69.0,126971550.0,1972.0,-73.9856377,40.756770700000004,0
200463,MN,997,2.0,4.0,10036.0,O4,5.0,15565.0,426056.0,40.0,66.0,52282800.0,1988.0,-73.9839412,40.757034000000004,0
200469,MN,998,2.0,4.0,10036.0,H2,5.0,9510.0,304831.0,53.0,1.0,42398550.0,2009.0,-73.9840421,40.757569200000006,0
200470,MN,1000,2.0,4.0,10036.0,H1,5.0,16066.0,369864.0,42.0,4.0,51092100.0,1909.0,-73.9840995,40.75922979999999,0
200472,MN,1000,2.0,4.0,10036.0,H1,5.0,12050.0,374765.0,48.0,3.0,50791500.0,2018.0,-73.98339200000001,40.7589305,0
200476,MN,1008,2.0,4.0,10019.0,H3,5.0,22240.0,207700.0,26.0,6.0,41540850.0,1911.0,-73.98039809999999,40.7642576,0
200478,MN,815,2.0,4.0,10018.0,O4,5.0,17700.0,361767.0,24.0,79.0,47492550.0,1926.0,-73.9865949,40.7536446,0
200479,MN,815,2.0,4.0,10018.0,H3,5.0,7406.0,126398.0,34.0,1.0,17117100.0,1997.0,-73.9861798,40.753575899999994,0
200483,MN,1009,2.0,4.0,10019.0,H3,5.0,7532.0,112850.0,28.0,2.0,15711300.0,2007.0,-73.9779577,40.7643367,0
200489,MN,1008,2.0,4.0,10019.0,O4,5.0,29221.0,540000.0,23.0,1.0,148520700.0,1988.0,-73.9789507,40.7637468,0
200501,MN,999,2.0,4.0,10036.0,O4,5.0,26100.0,646995.0,25.0,40.0,97104600.0,1987.0,-73.9830385,40.758140000000004,0
200503,MN,999,2.0,4.0,10036.0,O4,5.0,42049.0,1047390.0,42.0,50.0,207316350.0,1970.0,-73.9825188,40.7578984,0
200509,MN,1008,2.0,4.0,10019.0,O4,5.0,5021.0,87573.0,27.0,1.0,9125550.0,2018.0,-73.97837309999998,40.7636946,0
200510,MN,1016,2.0,3.0,10036.0,RC,5.0,19982.0,487156.0,30.0,1332.0,104575179.0,1961.0,-73.98830840000001,40.7587088,0
200527,MN,1018,2.0,3.0,10036.0,H2,5.0,5020.0,61892.0,21.0,0.0,2507400.0,0.0,-73.9863735,40.7593701,0
200528,MN,1019,2.0,3.0,10036.0,D6,4.0,13983.0,463143.0,52.0,465.0,53877600.0,2001.0,-73.9869978,40.7605092,0
200543,MN,1016,2.0,3.0,10036.0,O4,5.0,65764.0,1721814.0,54.0,1.0,364938750.0,1970.0,-73.98643879999999,40.757929100000005,0
200555,MN,1020,2.0,3.0,10036.0,D8,3.0,24100.0,475327.0,42.0,483.0,64098900.0,1989.0,-73.9860916,40.7608934,0
200565,MN,1022,2.0,3.0,10019.0,O4,5.0,90400.0,2438059.0,48.0,47.0,418591800.0,1972.0,-73.9847016,40.7621064,0
200570,MN,1021,2.0,4.0,10019.0,O4,5.0,22015.0,561139.0,34.0,7.0,85324500.0,1988.0,-73.98391140000001,40.7608848,0
200583,MN,1024,2.0,3.0,10019.0,O4,5.0,23900.0,762619.0,35.0,1.0,143442450.0,1987.0,-73.9835462,40.7631025,0
200596,MN,1024,2.0,3.0,10019.0,D8,3.0,29125.0,542276.0,62.0,428.0,81288900.0,2015.0,-73.98407309999999,40.763560999999996,0
200600,MN,1020,2.0,3.0,10019.0,H1,5.0,35275.0,843131.0,46.0,10.0,82152000.0,1987.0,-73.98507740000001,40.760618799999996,0
200609,MN,1023,2.0,3.0,10019.0,H2,5.0,21275.0,325216.0,26.0,1.0,56778300.0,1929.0,-73.9837485,40.7625179,0
200619,MN,1029,2.0,4.0,10019.0,O4,5.0,5057.0,112100.0,24.0,46.0,15166350.0,1927.0,-73.9814877,40.76637120000001,0
200620,MN,1032,2.0,3.0,10036.0,O4,5.0,27975.0,552775.0,33.0,36.0,58604850.0,1931.0,-73.99158249999999,40.757504100000006,0
200621,MN,1028,2.0,4.0,10019.0,D6,4.0,16120.0,311689.0,36.0,406.0,37209150.0,1979.0,-73.98146990000001,40.7654737,0
200624,MN,1028,2.0,3.0,10019.0,O4,5.0,22075.0,435677.0,26.0,186.0,63641700.0,1921.0,-73.98253100000001,40.7662753,0
200650,MN,1027,2.0,4.0,10019.0,O4,5.0,29505.0,519600.0,26.0,53.0,115198650.0,1950.0,-73.9816902,40.7649495,0
200767,MN,1041,2.0,3.0,10019.0,D8,3.0,16450.0,270211.0,25.0,295.0,51564600.0,1997.0,-73.9862393,40.7627186,0
200776,MN,1039,2.0,3.0,10036.0,H2,5.0,4700.0,73651.0,27.0,1.0,12325410.0,2018.0,-73.9874308,40.761426,0
201162,MN,1071,2.0,3.0,10036.0,D8,3.0,37655.0,388073.0,44.0,422.0,56460600.0,1987.0,-73.9976067,40.760962799999994,0
201169,MN,1071,2.0,3.0,10036.0,D6,4.0,24269.0,319967.0,35.0,380.0,37141200.0,1996.0,-73.99637940000001,40.7605401,0
201171,MN,1071,2.0,3.0,10036.0,D1,3.0,10042.0,125000.0,22.0,106.0,15907500.0,2000.0,-73.9970978,40.7609408,0
201279,MN,1118,3.0,6.0,10023.0,M1,8.0,25104.0,40110.0,36.0,328.0,7374150.0,1974.0,-73.98142800000001,40.7731562,0
201299,MN,1260,2.0,4.0,10036.0,H1,5.0,15816.0,294000.0,30.0,1.0,40790250.0,1999.0,-73.9816422,40.755996100000004,0
201301,MN,1132,3.0,3.0,10023.0,D8,3.0,9646.0,461229.0,54.0,340.0,58580550.0,2014.0,-73.9860604,40.7719602,0
201341,MN,1138,3.0,6.0,10023.0,D4,3.0,15263.0,186737.0,25.0,245.0,20574450.0,1975.0,-73.9832328,40.774874700000005,0
201345,MN,1261,2.0,4.0,10036.0,H6,3.0,6024.0,126000.0,21.0,0.0,11737800.0,2013.0,-73.9806422,40.7564653,0
201371,MN,1260,2.0,4.0,10036.0,RC,5.0,27614.0,446678.0,26.0,3.0,62654400.0,1957.0,-73.9801264,40.755224600000005,0
201385,MN,1269,2.0,4.0,10019.0,O4,5.0,21606.0,500177.0,39.0,0.0,63795150.0,1965.0,-73.97847469999999,40.7619654,0
201391,MN,1261,2.0,4.0,10036.0,O4,5.0,10575.0,180524.0,22.0,1.0,29554200.0,1989.0,-73.979805,40.75574879999999,0
201394,MN,1269,2.0,4.0,10019.0,D6,4.0,2209.0,74291.0,73.0,184.0,11382750.0,2015.0,-73.9783412,40.7617211,0
201399,MN,1263,2.0,4.0,10036.0,O4,5.0,11975.0,248896.0,23.0,39.0,31652550.0,1964.0,-73.98118670000001,40.7582961,0
201416,MN,1269,2.0,4.0,10019.0,O4,5.0,12301.0,205020.0,27.0,1.0,44595900.0,1957.0,-73.9758652,40.7609932,0
201427,MN,1267,2.0,4.0,10019.0,O4,5.0,13625.0,336010.0,36.0,67.0,79907400.0,1977.0,-73.9768041,40.759769299999995,0
201434,MN,1269,2.0,4.0,10019.0,D6,4.0,1506.0,50648.0,73.0,184.0,7733700.0,2015.0,-73.97797299999999,40.761883000000005,0
201435,MN,1269,2.0,4.0,10019.0,D6,4.0,1506.0,50648.0,73.0,184.0,7733700.0,2015.0,-73.9779188,40.761860999999996,0
201452,MN,1275,2.0,4.0,10017.0,O4,5.0,9250.0,170230.0,24.0,26.0,32378400.0,1923.0,-73.9801743,40.7520709,0
201456,MN,1277,2.0,4.0,10017.0,O4,5.0,13356.0,251043.0,28.0,30.0,80930250.0,2004.0,-73.9803579,40.753566799999994,0
201473,MN,1277,2.0,4.0,10017.0,O4,5.0,44048.0,1678135.0,60.0,5.0,409013100.0,2017.0,-73.97855340000001,40.7529654,0
